$ vmatch -l 500 -q EcoliK12 -pp chain local 2b EcoliO157H7
# args=-l 500 -q EcoliK12 -pp chain local 2b EcoliO157H7
# chain 0: length 7 score 12654
  749    0  193444   D   749    0  189957   0    0.00e+00   1498   100.00
  592    0  194194   D   592    0  190707   0    0.00e+00   1184   100.00
 1210    0  194787   D  1210    0  191300   0    0.00e+00   2420   100.00
 1065    0  196408   D  1065    0  193063   0    0.00e+00   2130   100.00
  505    0  197510   D   505    0  194165   0    0.00e+00   1010   100.00
 2632    0  198385   D  2632    0  195040   0    0.00e+00   5264   100.00
  589    0  201135   D   589    0  197790   0    0.00e+00   1178   100.00
# chain 1: length 10 score 23118
 2153    0 4184202   D  2153    0 3437201   0    0.00e+00   4306   100.00
 1845    0 4186356   D  1845    0 3439355   0    0.00e+00   3690   100.00
  575    0 4188373   D   575    0 3441372   0    0.00e+00   1150   100.00
  537    0 4188949   D   537    0 3441948   0    0.00e+00   1074   100.00
 2567    0 4189568   D  2567    0 3442567   0    0.00e+00   5134   100.00
  798    0 4192136   D   798    0 3445135   0    0.00e+00   1596   100.00
  833    0 4192935   D   833    0 3445934   0    0.00e+00   1666   100.00
  952    0 4194011   D   952    0 3447010   0    0.00e+00   1904   100.00
 1552    0 4195622   D  1552    0 3448621   0    0.00e+00   3104   100.00
  917    0 4197175   D   917    0 3450174   0    0.00e+00   1834   100.00
